Name;Latitude;Longitude;Owner;Height
Albé;48.358;7.3165;CeA;30
Bernardvillé;48.3686;7.4026;CeA;35
Pfriemenkopf;48.45;7.253;Hivory;30
Rocher du coucou;48.295;7.312;CeA;45

